x,y,Aurora
12,26,17
12,27,14
12,28,11
12,29,9
12,30,7
12,31,5
12,32,4
12,33,3
12,34,2
12,35,2
12,36,1
12,37,1
12,38,1
12,88,1
12,89,2
12,146,1
12,147,2
12,148,3
12,149,5
12,150,8
12,151,11
12,152,15
12,153,19
12,154,23
12,155,26
12,156,28
12,157,28
12,158,27
12,159,25
12,160,23
12,161,20
12,162,17
12,163,14
12,164,11
12,165,8
12,166,6
12,167,4
12,168,2
12,169,1
12,170,1
13,0,7
13,2,10
13,3,13
13,4,17
13,5,20
13,6,24
13,7,28
13,8,32
13,9,36
13,10,39
13,11,41
13,12,43
13,13,44
13,14,45
13,15,44
13,16,44
13,17,43
13,18,41
13,19,39
13,20,36
13,21,34
13,22,30
13,23,27
13,24,24
13,25,21
13,26,18
13,27,15
13,28,12
13,29,10
13,30,8
13,31,6
13,32,4
13,33,3
13,34,2
13,35,2
13,36,1
13,37,1
13,38,1
13,88,1
13,89,2
13,146,1
13,147,2
13,148,3
13,149,5
13,150,8
13,151,11
13,152,15
13,153,19
13,154,23
13,155,26
13,156,27
13,157,28
13,158,27
13,159,25
13,160,23
13,161,20
13,162,17
13,163,14
13,164,11
13,165,8
13,166,6
13,167,4
13,168,2
13,169,2
13,170,1
14,0,7
14,2,10
14,3,13
14,4,16
14,5,20
14,6,24
14,7,28
14,8,32
14,9,35
14,10,38
14,11,41
14,12,43
14,13,44
14,14,45
14,15,45
14,16,44
14,17,43
14,18,42
14,19,40
14,20,37
14,21,34
14,22,31
14,23,28
14,24,25
14,25,22
14,26,19
14,27,16
14,28,13
14,29,10
14,30,8
14,31,6
14,32,5
14,33,3
14,34,3
14,35,2
14,36,1
14,37,1
14,38,1
14,88,1
14,89,2
14,146,1
14,147,2
14,148,3
14,149,5
14,150,7
14,151,11
14,152,15
14,153,19
14,154,22
14,155,25
14,156,27
14,157,28
14,158,27
14,159,25
14,160,23
14,161,20
14,162,17
14,163,14
14,164,11
14,165,8
14,166,6
14,167,4
14,168,3
14,169,2
14,170,1
15,0,7
15,2,10
15,3,13
15,4,16
15,5,20
15,6,23
15,7,27
15,8,31
15,9,35
15,10,38
15,11,41
15,12,42
15,13,44
15,14,45
15,15,45
15,16,44
15,17,43
15,18,42
15,19,40
15,20,38
15,21,35
15,22,32
15,23,29
15,24,26
15,25,23
15,26,19
15,27,16
15,28,14
15,29,11
15,30,9
15,31,7
15,32,5
15,33,4
15,34,3
15,35,2
15,36,1
15,37,1
15,38,1
15,88,1
15,89,2
15,146,1
15,147,2
15,148,3
15,149,5
15,150,7
15,151,11
15,152,14
15,153,18
15,154,22
15,155,25
15,156,27
15,157,28
15,158,27
15,159,25
15,160,23
15,161,20
15,162,17
15,163,14
15,164,11
15,165,8
15,166,6
15,167,4
15,168,3
15,169,2
15,170,1
15,171,1
16,0,7
16,2,10
16,3,13
16,4,16
16,5,19
16,6,23
16,7,27
16,8,31
16,9,34
16,10,37
16,11,40
16,12,42
16,13,44
16,14,44
16,15,45
16,16,44
16,17,44
16,18,43
16,19,41
16,20,39
16,21,36
16,22,33
